indicador_id,periodo,valor,semana_inicio
esp_corazon_p2040_var_S04,S04,-0.3,2025-01-27
esp_corazon_p2040_var_S06,S06,0.1,2025-02-10
esp_corazon_p2040_var_S09,S09,0,2025-03-03
esp_corazon_p2040_var_S07,S07,-1.5,2025-02-17
esp_corazon_p2040_var_S11,S11,0,2025-03-17
esp_corazon_p2040_var_S10,S10,-0,2025-03-10
esp_corazon_p2040_var_S08,S08,0.1,2025-02-24
esp_corazon_p2040_var_S08,S08,-0.2,2025-02-23
esp_corazon_p2040_var_S12,S12,-1.3,2025-03-24
esp_corazon_p2040_var_S13,S13,0,2025-03-31
esp_corazon_p2040_var_S13,S13,-0.2,2025-03-30
esp_corazon_p2040_var_S14,S14,-0.2,2025-04-07
esp_corazon_p2040_var_S17,S17,0.2,2025-04-27
esp_corazon_p2040_var_S18,S18,0.2,2025-05-05
esp_corazon_p2040_var_S15,S15,-0.5,2025-04-14
esp_corazon_p2040_var_S16,S16,-0.1,2025-04-21
esp_corazon_p2040_var_S17,S17,-0.2,2025-04-28
esp_corazon_p2040_var_S19,S19,-0.1,2025-05-12
esp_corazon_p2040_var_S20,S20,-0.7,2025-05-19
indicador_id,periodo,valor,semana_inicio
esp_corazon_p2040_pct_S52,S52,63,2024-12-29
esp_corazon_p2040_pct_S52,S52,63,2024-12-30
esp_corazon_p2040_pct_S01,S01,63,2025-01-06
esp_corazon_p2040_pct_S02,S02,63.1,2025-01-13
esp_corazon_p2040_pct_S48,S48,63.4,2024-12-01
esp_corazon_p2040_pct_S47,S47,63.4,2024-11-24
esp_corazon_p2040_pct_S51,S51,63.2,2024-12-23
esp_corazon_p2040_pct_S49,S49,63.2,2024-12-09
esp_corazon_p2040_pct_S50,S50,63.1,2024-12-16
esp_corazon_p2040_pct_S03,S03,63.1,2025-01-20
esp_corazon_p2040_pct_S04,S04,63.4,2025-01-26
esp_corazon_p2040_pct_S05,S05,63.4,2025-02-03
esp_corazon_p2040_pct_S04,S04,63.2,2025-01-27
esp_corazon_p2040_pct_S06,S06,63.5,2025-02-10
esp_corazon_p2040_pct_S09,S09,62.5,2025-03-03
esp_corazon_p2040_pct_S07,S07,62.6,2025-02-17
esp_corazon_p2040_pct_S11,S11,62.5,2025-03-17
esp_corazon_p2040_pct_S10,S10,62.5,2025-03-10
esp_corazon_p2040_pct_S08,S08,62.5,2025-02-24
esp_corazon_p2040_pct_S08,S08,62.4,2025-02-23
esp_corazon_p2040_pct_S12,S12,61.7,2025-03-24
esp_corazon_p2040_pct_S13,S13,61.6,2025-03-31
esp_corazon_p2040_pct_S13,S13,61.6,2025-03-30
esp_corazon_p2040_pct_S14,S14,61.4,2025-04-07
esp_corazon_p2040_pct_S17,S17,61.2,2025-04-27
esp_corazon_p2040_pct_S18,S18,61.2,2025-05-05
esp_corazon_p2040_pct_S15,S15,61.1,2025-04-14
esp_corazon_p2040_pct_S16,S16,61.1,2025-04-21
esp_corazon_p2040_pct_S17,S17,61.1,2025-04-28
esp_corazon_p2040_pct_S19,S19,61.2,2025-05-12
esp_corazon_p2040_pct_S20,S20,60.7,2025-05-19
indicador_id,periodo,valor,semana_inicio
esp_corazon_p2040_total_S52,S52,851,2024-12-29
esp_corazon_p2040_total_S52,S52,851,2024-12-30
esp_corazon_p2040_total_S01,S01,851,2025-01-06
esp_corazon_p2040_total_S02,S02,853,2025-01-13
esp_corazon_p2040_total_S48,S48,857,2024-12-01
esp_corazon_p2040_total_S47,S47,861,2024-11-24
esp_corazon_p2040_total_S51,S51,857,2024-12-23
esp_corazon_p2040_total_S49,S49,858,2024-12-09
esp_corazon_p2040_total_S50,S50,858,2024-12-16
esp_corazon_p2040_total_S03,S03,856,2025-01-20
esp_corazon_p2040_total_S04,S04,853,2025-01-26
esp_corazon_p2040_total_S05,S05,854,2025-02-03
esp_corazon_p2040_total_S04,S04,857,2025-01-27
esp_corazon_p2040_total_S06,S06,854,2025-02-10
esp_corazon_p2040_total_S09,S09,856,2025-03-03
esp_corazon_p2040_total_S07,S07,856,2025-02-17
esp_corazon_p2040_total_S11,S11,857,2025-03-17
esp_corazon_p2040_total_S10,S10,857,2025-03-10
esp_corazon_p2040_total_S08,S08,857,2025-02-24
esp_corazon_p2040_total_S08,S08,857,2025-02-23
esp_corazon_p2040_total_S12,S12,853,2025-03-24
esp_corazon_p2040_total_S13,S13,854,2025-03-31
esp_corazon_p2040_total_S13,S13,854,2025-03-30
esp_corazon_p2040_total_S14,S14,851,2025-04-07
esp_corazon_p2040_total_S17,S17,850,2025-04-27
esp_corazon_p2040_total_S18,S18,851,2025-05-05
esp_corazon_p2040_total_S15,S15,851,2025-04-14
esp_corazon_p2040_total_S16,S16,851,2025-04-21
esp_corazon_p2040_total_S17,S17,851,2025-04-28
esp_corazon_p2040_total_S19,S19,851,2025-05-12
esp_corazon_p2040_total_S20,S20,851,2025-05-19
indicador_id,periodo,valor,semana_inicio
esp_bautismo_p2040_var_S52,S52,0.4,2024-12-29
esp_bautismo_p2040_var_S52,S52,0,2024-12-30
esp_bautismo_p2040_var_S01,S01,0,2025-01-06
esp_bautismo_p2040_var_S02,S02,0,2025-01-13
esp_bautismo_p2040_var_S48,S48,0.4,2024-12-01
esp_bautismo_p2040_var_S47,S47,,2024-11-24
esp_bautismo_p2040_var_S51,S51,0.1,2024-12-23
esp_bautismo_p2040_var_S49,S49,-0.3,2024-12-09
esp_bautismo_p2040_var_S50,S50,-0.2,2024-12-16
esp_bautismo_p2040_var_S03,S03,0.4,2025-01-20
esp_bautismo_p2040_var_S04,S04,5.1,2025-01-26
esp_bautismo_p2040_var_S05,S05,0.4,2025-02-03
esp_bautismo_p2040_var_S04,S04,-0.5,2025-01-27
esp_bautismo_p2040_var_S06,S06,0.6,2025-02-10
esp_bautismo_p2040_var_S09,S09,-0.2,2025-03-03
esp_bautismo_p2040_var_S07,S07,-1.2,2025-02-17
esp_bautismo_p2040_var_S11,S11,0,2025-03-17
esp_bautismo_p2040_var_S10,S10,0,2025-03-10
esp_bautismo_p2040_var_S08,S08,0.1,2025-02-24
esp_bautismo_p2040_var_S08,S08,-0.2,2025-02-23
esp_bautismo_p2040_var_S12,S12,-0.6,2025-03-24
esp_bautismo_p2040_var_S13,S13,0,2025-03-31
esp_bautismo_p2040_var_S13,S13,0.2,2025-03-30
esp_bautismo_p2040_var_S14,S14,0.3,2025-04-07
esp_bautismo_p2040_var_S17,S17,0.1,2025-04-27
esp_bautismo_p2040_var_S18,S18,0.2,2025-05-05
esp_bautismo_p2040_var_S15,S15,0.1,2025-04-14
esp_bautismo_p2040_var_S16,S16,-0.1,2025-04-21
esp_bautismo_p2040_var_S17,S17,-0.1,2025-04-28
esp_bautismo_p2040_var_S19,S19,0.1,2025-05-12
esp_bautismo_p2040_var_S20,S20,-0.7,2025-05-19
indicador_id,periodo,valor,semana_inicio
esp_bautismo_p2040_pct_S52,S52,44.2,2024-12-29
esp_bautismo_p2040_pct_S52,S52,44.2,2024-12-30
esp_bautismo_p2040_pct_S01,S01,44.2,2025-01-06
esp_bautismo_p2040_pct_S02,S02,44.2,2025-01-13
esp_bautismo_p2040_pct_S48,S48,44.3,2024-12-01
esp_bautismo_p2040_pct_S47,S47,44.1,2024-11-24
esp_bautismo_p2040_pct_S51,S51,44.1,2024-12-23
esp_bautismo_p2040_pct_S49,S49,44.1,2024-12-09
esp_bautismo_p2040_pct_S50,S50,44,2024-12-16
esp_bautismo_p2040_pct_S03,S03,44.4,2025-01-20
esp_bautismo_p2040_pct_S04,S04,46.7,2025-01-26
esp_bautismo_p2040_pct_S05,S05,46.6,2025-02-03
esp_bautismo_p2040_pct_S04,S04,46.4,2025-01-27
esp_bautismo_p2040_pct_S06,S06,46.9,2025-02-10
esp_bautismo_p2040_pct_S09,S09,46.2,2025-03-03
esp_bautismo_p2040_pct_S07,S07,46.3,2025-02-17
esp_bautismo_p2040_pct_S11,S11,46.2,2025-03-17
esp_bautismo_p2040_pct_S10,S10,46.2,2025-03-10
esp_bautismo_p2040_pct_S08,S08,46.3,2025-02-24
esp_bautismo_p2040_pct_S08,S08,46.2,2025-02-23
esp_bautismo_p2040_pct_S12,S12,45.9,2025-03-24
esp_bautismo_p2040_pct_S13,S13,46,2025-03-31
esp_bautismo_p2040_pct_S13,S13,46,2025-03-30
esp_bautismo_p2040_pct_S14,S14,46.1,2025-04-07
esp_bautismo_p2040_pct_S17,S17,46.2,2025-04-27
esp_bautismo_p2040_pct_S18,S18,46.3,2025-05-05
esp_bautismo_p2040_pct_S15,S15,46.2,2025-04-14
esp_bautismo_p2040_pct_S16,S16,46.2,2025-04-21
esp_bautismo_p2040_pct_S17,S17,46.2,2025-04-28
esp_bautismo_p2040_pct_S19,S19,46.3,2025-05-12
esp_bautismo_p2040_pct_S20,S20,46,2025-05-19
