V_percent_S47,S47,100,18/11/2024
V_percent_S47,S47,50,25/11/2024
salud_seguro_var_S47,S47,,18/11/2024
salud_seguro_pct_S47,S47,85.8,18/11/2024
salud_seguro_total_S47,S47,1164,18/11/2024
p_juf_regcivil_var_S47,S47,,18/11/2024
p_juf_regcivil_pct_S47,S47,99.8,18/11/2024
juf_suenos_var_S47,S47,,18/11/2024
juf_regcivil_total_S47,S47,1354,18/11/2024
guias_S47,S47,13,25/11/2024
guias_S47,S47,13,18/11/2024
f2040_S47,S47,9,25/11/2024
f2040_S47,S47,1,14/11/2022
f2040_S47,S47,3,21/11/2022
esp_consagracion_pct_S47,S47,63.4,18/11/2024
esp_consagracion_total_S47,S47,861,18/11/2024
esp_bautismo_var_S47,S47,,18/11/2024
esp_bautismo_pct_S47,S47,44.1,18/11/2024
esp_bautismo_total_S47,S47,598,18/11/2024
f2040_S46,S46,1,13/11/2023
f2040_S46,S46,2,18/11/2024
f2040_S46,S46,1,14/11/2022
f2040_S45,S45,4,07/11/2022
f2040_S45,S45,11,11/11/2024
f2040_S44,S44,3,31/10/2022
f2040_S44,S44,3,04/11/2024
f2040_S43,S43,1,24/10/2022
f2040_S43,S43,4,23/10/2023
f2040_S43,S43,2,28/10/2024
f2040_S42,S42,3,17/10/2022
f2040_S42,S42,15,16/10/2023
f2040_S42,S42,10,21/10/2024
f2040_S42,S42,3,14/10/2024
f2040_S41,S41,4,09/10/2023
f2040_S41,S41,10,14/10/2024
f2040_S41,S41,2,10/10/2022
f2040_S41,S41,1,07/10/2024
f2040_S40,S40,10,07/10/2024
f2040_S40,S40,2,03/10/2022
f2040_S40,S40,1,02/10/2023
f2040_S39,S39,8,26/09/2022
f2040_S39,S39,29,25/09/2023
f2040_S39,S39,1,30/09/2024
f2040_S38,S38,9,23/09/2024
f2040_S38,S38,1,19/09/2022
f2040_S38,S38,1,18/09/2023
f2040_S37,S37,1,12/09/2022
f2040_S37,S37,2,11/09/2023
f2040_S37,S37,9,16/09/2024
f2040_S36,S36,2,05/09/2022
f2040_S36,S36,9,09/09/2024
f2040_S36,S36,1,04/09/2023
f2040_S35,S35,37,29/08/2022
f2040_S35,S35,11,02/09/2024
f2040_S34,S34,8,26/08/2024
f2040_S34,S34,1,21/08/2023
f2040_S33,S33,291,19/08/2024
f2040_S32,S32,1,08/08/2022
f2040_S32,S32,1,12/08/2024
f2040_S31,S31,9,05/08/2024
f2040_S30,S30,4,29/07/2024
f2040_S30,S30,1,24/07/2023
f2040_S29,S29,1,17/07/2023
f2040_S28,S28,1,11/07/2022
f2040_S28,S28,3,15/07/2024
f2040_S27,S27,2,03/07/2023
f2040_S27,S27,1,08/07/2024
V_E_var_S25,S25,,24/06/2024
V_E_total_S25,S25,1,24/06/2024
V_E_percent_S25,S25,100,24/06/2024
f2040_S25,S25,1,24/06/2024
f2040_S24,S24,2,12/06/2023
f2040_S24,S24,8,17/06/2024
f2040_S23,S23,1,10/06/2024
f2040_S21,S21,1,22/05/2023
V_var_S20,S20,0.7,19/05/2025
V_total_S20,S20,1401,19/05/2025
V_percent_S20,S20,4.3,19/05/2025
V_E_total_S20,S20,1,19/05/2025
salud_seguro_var_S20,S20,-0.3,19/05/2025
