indicador_id,periodo,valor
esp_corazon_p2040_var_S05,S05,0
esp_corazon_p2040_var_S05,S05,-0.2
esp_corazon_p2040_var_S03,S03,0.1
esp_corazon_p2040_var_S03,S03,-1.5
esp_corazon_p2040_var_S01,S01,0
esp_corazon_p2040_var_S01,S01,-0
esp_corazon_p2040_var_S04,S04,0.1
esp_corazon_p2040_var_S04,S04,-0.3
esp_corazon_p2040_var_S04,S04,0.1
esp_corazon_p2040_var_S03,S03,0
esp_corazon_p2040_var_S02,S02,-0
esp_corazon_p2040_var_S04,S04,-0.2
esp_corazon_p2040_var_S02,S02,-0.3
esp_corazon_p2040_var_S03,S03,-0.2
esp_corazon_p2040_var_S04,S04,
indicador_id,periodo,valor
esp_corazon_p2040_pct_S04,S04,61.2
esp_corazon_p2040_pct_S01,S01,63
esp_corazon_p2040_pct_S05,S05,63
esp_corazon_p2040_pct_S05,S05,63
esp_corazon_p2040_pct_S01,S01,61.4
esp_corazon_p2040_pct_S01,S01,61.2
esp_corazon_p2040_pct_S02,S02,61.1
esp_corazon_p2040_pct_S02,S02,61.2
esp_corazon_p2040_pct_S04,S04,61.1
esp_corazon_p2040_pct_S03,S03,61.1
esp_corazon_p2040_pct_S03,S03,60.7
esp_corazon_p2040_pct_S04,S04,63.4
esp_corazon_p2040_pct_S02,S02,63.1
esp_corazon_p2040_pct_S04,S04,61.7
esp_corazon_p2040_pct_S02,S02,63.5
esp_corazon_p2040_pct_S01,S01,63.4
esp_corazon_p2040_pct_S05,S05,61.6
esp_corazon_p2040_pct_S05,S05,61.6
esp_corazon_p2040_pct_S03,S03,63.1
esp_corazon_p2040_pct_S03,S03,62.6
esp_corazon_p2040_pct_S01,S01,62.5
esp_corazon_p2040_pct_S01,S01,63.4
esp_corazon_p2040_pct_S04,S04,63.2
esp_corazon_p2040_pct_S04,S04,63.2
esp_corazon_p2040_pct_S04,S04,62.5
esp_corazon_p2040_pct_S03,S03,62.5
esp_corazon_p2040_pct_S02,S02,62.5
esp_corazon_p2040_pct_S04,S04,62.4
esp_corazon_p2040_pct_S02,S02,63.2
esp_corazon_p2040_pct_S03,S03,63.1
esp_corazon_p2040_pct_S04,S04,63.4
indicador_id,periodo,valor
esp_bautismo_p2040_total_S04,S04,642
esp_bautismo_p2040_total_S01,S01,597
esp_bautismo_p2040_total_S05,S05,597
esp_bautismo_p2040_total_S05,S05,597
esp_bautismo_p2040_total_S01,S01,639
esp_bautismo_p2040_total_S01,S01,643
esp_bautismo_p2040_total_S02,S02,643
esp_bautismo_p2040_total_S02,S02,644
esp_bautismo_p2040_total_S04,S04,643
esp_bautismo_p2040_total_S03,S03,643
esp_bautismo_p2040_total_S03,S03,644
esp_bautismo_p2040_total_S04,S04,628
esp_bautismo_p2040_total_S02,S02,598
esp_bautismo_p2040_total_S04,S04,635
esp_bautismo_p2040_total_S02,S02,631
esp_bautismo_p2040_total_S01,S01,628
esp_bautismo_p2040_total_S05,S05,638
esp_bautismo_p2040_total_S05,S05,638
esp_bautismo_p2040_total_S03,S03,602
esp_bautismo_p2040_total_S03,S03,634
esp_bautismo_p2040_total_S01,S01,633
esp_bautismo_p2040_total_S01,S01,598
esp_bautismo_p2040_total_S04,S04,598
esp_bautismo_p2040_total_S04,S04,630
esp_bautismo_p2040_total_S04,S04,635
esp_bautismo_p2040_total_S03,S03,634
esp_bautismo_p2040_total_S02,S02,634
esp_bautismo_p2040_total_S04,S04,635
esp_bautismo_p2040_total_S02,S02,599
esp_bautismo_p2040_total_S03,S03,599
esp_bautismo_p2040_total_S04,S04,598
indicador_id,periodo,valor
esp_bautismo_p2040_var_S04,S04,0.1
esp_bautismo_p2040_var_S01,S01,0
esp_bautismo_p2040_var_S05,S05,0
esp_bautismo_p2040_var_S05,S05,0.4
esp_bautismo_p2040_var_S01,S01,0.3
esp_bautismo_p2040_var_S01,S01,0.2
esp_bautismo_p2040_var_S02,S02,0.1
esp_bautismo_p2040_var_S02,S02,0.1
esp_bautismo_p2040_var_S04,S04,-0.1
esp_bautismo_p2040_var_S03,S03,-0.1
esp_bautismo_p2040_var_S03,S03,-0.7
esp_bautismo_p2040_var_S04,S04,5.1
esp_bautismo_p2040_var_S02,S02,0
esp_bautismo_p2040_var_S04,S04,-0.6
esp_bautismo_p2040_var_S02,S02,0.6
esp_bautismo_p2040_var_S01,S01,0.4
esp_bautismo_p2040_var_S05,S05,0
esp_bautismo_p2040_var_S05,S05,0.2
esp_bautismo_p2040_var_S03,S03,0.4
esp_bautismo_p2040_var_S03,S03,-1.2
esp_bautismo_p2040_var_S01,S01,-0.2
esp_bautismo_p2040_var_S01,S01,0.4
esp_bautismo_p2040_var_S04,S04,0.1
esp_bautismo_p2040_var_S04,S04,-0.5
esp_bautismo_p2040_var_S04,S04,0.1
esp_bautismo_p2040_var_S03,S03,0
esp_bautismo_p2040_var_S02,S02,0
esp_bautismo_p2040_var_S04,S04,-0.2
esp_bautismo_p2040_var_S02,S02,-0.3
esp_bautismo_p2040_var_S03,S03,-0.2
esp_bautismo_p2040_var_S04,S04,
indicador_id,periodo,valor
esp_bautismo_p2040_pct_S04,S04,46.2
esp_bautismo_p2040_pct_S01,S01,44.2
esp_bautismo_p2040_pct_S05,S05,44.2
esp_bautismo_p2040_pct_S05,S05,44.2
esp_bautismo_p2040_pct_S01,S01,46.1
esp_bautismo_p2040_pct_S01,S01,46.3
esp_bautismo_p2040_pct_S02,S02,46.2
esp_bautismo_p2040_pct_S02,S02,46.3
esp_bautismo_p2040_pct_S04,S04,46.2
esp_bautismo_p2040_pct_S03,S03,46.2
esp_bautismo_p2040_pct_S03,S03,46
esp_bautismo_p2040_pct_S04,S04,46.7
esp_bautismo_p2040_pct_S02,S02,44.2
esp_bautismo_p2040_pct_S04,S04,45.9
esp_bautismo_p2040_pct_S02,S02,46.9
esp_bautismo_p2040_pct_S01,S01,46.6
esp_bautismo_p2040_pct_S05,S05,46
esp_bautismo_p2040_pct_S05,S05,46
esp_bautismo_p2040_pct_S03,S03,44.4
esp_bautismo_p2040_pct_S03,S03,46.3
esp_bautismo_p2040_pct_S01,S01,46.2
esp_bautismo_p2040_pct_S01,S01,44.3
esp_bautismo_p2040_pct_S04,S04,44.1
esp_bautismo_p2040_pct_S04,S04,46.4
esp_bautismo_p2040_pct_S04,S04,46.3
esp_bautismo_p2040_pct_S03,S03,46.2
esp_bautismo_p2040_pct_S02,S02,46.2
esp_bautismo_p2040_pct_S04,S04,46.2
esp_bautismo_p2040_pct_S02,S02,44.1
esp_bautismo_p2040_pct_S03,S03,44
esp_bautismo_p2040_pct_S04,S04,44.1
indicador_id,periodo,valor
juf_regcivil_p2040_total_S04,S04,1386
juf_regcivil_p2040_total_S01,S01,1346
juf_regcivil_p2040_total_S05,S05,1346
juf_regcivil_p2040_total_S05,S05,1346
juf_regcivil_p2040_total_S01,S01,1381
juf_regcivil_p2040_total_S01,S01,1387
juf_regcivil_p2040_total_S02,S02,1389
juf_regcivil_p2040_total_S02,S02,1389
juf_regcivil_p2040_total_S04,S04,1390
juf_regcivil_p2040_total_S03,S03,1390
juf_regcivil_p2040_total_S03,S03,1397
juf_regcivil_p2040_total_S04,S04,1344
juf_regcivil_p2040_total_S02,S02,1348
juf_regcivil_p2040_total_S04,S04,1379
juf_regcivil_p2040_total_S02,S02,1344
juf_regcivil_p2040_total_S01,S01,1345
juf_regcivil_p2040_total_S05,S05,1382
juf_regcivil_p2040_total_S05,S05,1383
juf_regcivil_p2040_total_S03,S03,1354
juf_regcivil_p2040_total_S03,S03,1364
juf_regcivil_p2040_total_S01,S01,1366
juf_regcivil_p2040_total_S01,S01,1349
juf_regcivil_p2040_total_S04,S04,1355
juf_regcivil_p2040_total_S04,S04,1355
juf_regcivil_p2040_total_S04,S04,1367
juf_regcivil_p2040_total_S03,S03,1367
juf_regcivil_p2040_total_S02,S02,1367
juf_regcivil_p2040_total_S04,S04,1368
juf_regcivil_p2040_total_S02,S02,1352
juf_regcivil_p2040_total_S03,S03,1354
juf_regcivil_p2040_total_S04,S04,1354
indicador_id,periodo,valor
juf_regcivil_p2040_var_S04,S04,0
juf_regcivil_p2040_var_S01,S01,0
juf_regcivil_p2040_var_S05,S05,0
juf_regcivil_p2040_var_S05,S05,-0.1
juf_regcivil_p2040_var_S01,S01,0.1
juf_regcivil_p2040_var_S01,S01,0
juf_regcivil_p2040_var_S02,S02,0.1
juf_regcivil_p2040_var_S02,S02,0.1
juf_regcivil_p2040_var_S04,S04,0
juf_regcivil_p2040_var_S03,S03,0
